CustomerID,ItemID,Rating,InvoiceDate
12347,PIECE POLKADOT CUTLERY SET,5,12/7/2021 14:57
12567,PIECE POLKADOT CUTLERY SET,4,12/5/2021 14:19
12567,PIECE POLKADOT CUTLERY SET,3,12/5/2021 14:19
12748,PIECE POLKADOT CUTLERY SET,4,12/6/2021 10:43
12921,PIECE POLKADOT CUTLERY SET,3,12/5/2021 15:46
12921,PIECE POLKADOT CUTLERY SET,3,12/5/2021 15:46
12967,PIECE POLKADOT CUTLERY SET,3,12/1/2021 11:57
12967,PIECE POLKADOT CUTLERY SET,3,12/1/2021 11:57
13523,PIECE POLKADOT CUTLERY SET,4,12/23/2021 14:35
14083,PIECE POLKADOT CUTLERY SET,4,12/10/2021 15:31
14390,PIECE POLKADOT CUTLERY SET,1,12/23/2021 11:06
14390,PIECE POLKADOT CUTLERY SET,5,12/23/2021 11:06
14415,PIECE POLKADOT CUTLERY SET,3,12/1/2021 16:33
14527,PIECE POLKADOT CUTLERY SET,5,12/14/2021 12:59
14646,PIECE POLKADOT CUTLERY SET,2,12/12/2021 16:14
14646,PIECE POLKADOT CUTLERY SET,,12/12/2021 16:14
14680,PIECE POLKADOT CUTLERY SET,4,12/9/2021 12:32
14680,PIECE POLKADOT CUTLERY SET,5,12/15/2021 12:30
14688,PIECE POLKADOT CUTLERY SET,4,12/20/2021 13:11
15012,PIECE POLKADOT CUTLERY SET,3,12/1/2021 12:43
15024,PIECE POLKADOT CUTLERY SET,3,12/2/2021 08:43
15024,PIECE POLKADOT CUTLERY SET,5,12/7/2021 14:58
15039,PIECE POLKADOT CUTLERY SET,5,12/5/2021 11:10
15039,PIECE POLKADOT CUTLERY SET,2,12/13/2021 10:31
15246,PIECE POLKADOT CUTLERY SET,2,12/15/2021 14:35
15311,PIECE POLKADOT CUTLERY SET,5,12/8/2021 14:36
15503,PIECE POLKADOT CUTLERY SET,4,12/16/2021 13:44
15544,PIECE POLKADOT CUTLERY SET,5,12/6/2021 15:00
15769,PIECE POLKADOT CUTLERY SET,4,12/5/2021 13:55
15950,PIECE POLKADOT CUTLERY SET,2,12/3/2021 17:28
15950,PIECE POLKADOT CUTLERY SET,4,12/2/2021 12:47
16686,PIECE POLKADOT CUTLERY SET,5,12/12/2021 13:32
16713,PIECE POLKADOT CUTLERY SET,2,12/8/2021 12:36
16713,PIECE POLKADOT CUTLERY SET,5,12/8/2021 16:34
17019,PIECE POLKADOT CUTLERY SET,2,12/13/2021 17:03
17019,PIECE POLKADOT CUTLERY SET,4,12/3/2021 16:44
17069,PIECE POLKADOT CUTLERY SET,3,12/1/2021 15:40
17069,PIECE POLKADOT CUTLERY SET,4,12/1/2021 15:40
17126,PIECE POLKADOT CUTLERY SET,2,12/14/2021 09:59
17179,PIECE POLKADOT CUTLERY SET,3,12/6/2021 15:09
17179,PIECE POLKADOT CUTLERY SET,4,12/6/2021 15:09
17228,PIECE POLKADOT CUTLERY SET,4,12/6/2021 12:06
17228,PIECE POLKADOT CUTLERY SET,5,12/6/2021 12:06
17243,PIECE POLKADOT CUTLERY SET,5,12/10/2021 13:48
17243,PIECE POLKADOT CUTLERY SET,5,12/10/2021 13:48
17340,PIECE POLKADOT CUTLERY SET,3,12/14/2021 13:35
17340,PIECE POLKADOT CUTLERY SET,5,12/14/2021 13:35
17841,PIECE POLKADOT CUTLERY SET,2,12/3/2021 15:10
17884,PIECE POLKADOT CUTLERY SET,3,12/8/2021 15:56
17890,PIECE POLKADOT CUTLERY SET,4,12/8/2021 15:56
17890,PIECE POLKADOT CUTLERY SET,4,12/20/2021 17:05
17917,PIECE POLKADOT CUTLERY SET,5,12/13/2021 15:20
12347,PIECE RETROSPOT CUTLERY SET,5,12/7/2021 14:57
12567,PIECE RETROSPOT CUTLERY SET,4,12/9/2021 10:13
12921,PIECE RETROSPOT CUTLERY SET,4,12/8/2021 13:53
12967,PIECE RETROSPOT CUTLERY SET,2,12/1/2021 11:57
13523,PIECE RETROSPOT CUTLERY SET,4,12/2/2021 12:10
13680,PIECE RETROSPOT CUTLERY SET,4,12/16/2021 15:34
14307,PIECE RETROSPOT CUTLERY SET,4,12/3/2021 12:24
14390,PIECE RETROSPOT CUTLERY SET,5,12/13/2021 13:28
14527,PIECE RETROSPOT CUTLERY SET,4,12/14/2021 12:59
14646,PIECE RETROSPOT CUTLERY SET,5,12/12/2021 16:14
14680,PIECE RETROSPOT CUTLERY SET,5,12/20/2021 13:11
14688,PIECE RETROSPOT CUTLERY SET,4,12/9/2021 12:32
15024,PIECE RETROSPOT CUTLERY SET,4,12/13/2021 11:44
15039,PIECE RETROSPOT CUTLERY SET,4,12/5/2021 11:10
15311,PIECE RETROSPOT CUTLERY SET,4,12/1/2021 12:49
15503,PIECE RETROSPOT CUTLERY SET,5,12/16/2021 13:44
15769,PIECE RETROSPOT CUTLERY SET,4,12/5/2021 13:55
15950,PIECE RETROSPOT CUTLERY SET,4,12/3/2021 17:28
16686,PIECE RETROSPOT CUTLERY SET,3,12/12/2021 13:32
16713,PIECE RETROSPOT CUTLERY SET,5,12/8/2021 12:36
17019,PIECE RETROSPOT CUTLERY SET,4,12/14/2021 11:51
